Date,Open,High,Low,Close,Adj Close,Volume
21/11/2020,509.744598,550.227417,504.237762,549.486633,549.486633,20757099184
22/11/2020,549.486633,579.372498,514.517212,558.068115,558.068115,21967049601
23/11/2020,558.059509,609.98761,551.265259,608.454041,608.454041,27272302872
24/11/2020,608.522766,621.173401,593.835144,603.897766,603.897766,23281758100
25/11/2020,603.902039,605.094177,559.671387,570.686646,570.686646,20088492893
26/11/2020,570.514893,575.641479,485.497314,518.801147,518.801147,31104004592
27/11/2020,519.108093,530.777161,497.242615,517.493713,517.493713,16831105703
28/11/2020,517.597351,548.044861,508.125366,538.229797,538.229797,14770243833
29/11/2020,538.264587,576.602417,531.987549,575.758057,575.758057,15017517758
30/11/2020,575.75708,615.24054,571.537781,614.842529,614.842529,20276867833
01/12/2020,615.070313,635.160583,571.753967,587.324158,587.324158,27178964465
02/12/2020,587.261597,604.022461,578.741028,598.352356,598.352356,16883292129
03/12/2020,598.459229,622.452698,588.346375,616.70874,616.70874,16146190946
04/12/2020,616.722778,618.983154,569.283508,569.354187,569.354187,16337589997
05/12/2020,569.347656,596.595459,563.106628,596.595459,596.595459,13498010566
06/12/2020,596.568665,606.791931,584.411743,601.908997,601.908997,11290893016
07/12/2020,601.797119,602.917908,585.42865,591.843384,591.843384,10720480962
08/12/2020,591.900818,594.751587,552.469238,554.827759,554.827759,14398919320
09/12/2020,554.792908,577.288391,532.998413,573.479126,573.479126,15855915840
10/12/2020,573.504028,574.600159,549.784058,559.678528,559.678528,11672582040
11/12/2020,559.679199,560.376709,537.811646,545.797363,545.797363,11098819124
12/12/2020,545.578552,573.339417,545.245605,568.567322,568.567322,8534557897
13/12/2020,568.609863,593.78125,564.565979,589.663208,589.663208,9070377862
14/12/2020,589.782471,590.492981,577.118408,586.011169,586.011169,8125837102
15/12/2020,586.02179,596.247742,580.628784,589.355591,589.355591,9326645840
16/12/2020,589.378662,636.64032,582.039124,636.181824,636.181824,15817248373
17/12/2020,636.154175,673.834229,628.74939,642.868958,642.868958,25479532147
18/12/2020,642.916992,662.699097,632.356079,654.811951,654.811951,15756303983
